time,close,high,low,open,volumefrom,volumeto
1.447218E+09,3.1335E+02,3.2045E+02,3.0758E+02,3.1932E+02,1.435263E+04,4.51704916E+06
1.4472216E+09,3.1396E+02,3.1662E+02,3.08E+02,3.1335E+02,9.1795E+03,2.87672331E+06
1.4472252E+09,3.0958E+02,3.1559E+02,3.0801E+02,3.1396E+02,6.51055E+03,2.03927026E+06
1.4472288E+09,3.1307E+02,3.1385E+02,3.0862E+02,3.0958E+02,5.98338E+03,1.87414473E+06
1.4472324E+09,3.217E+02,3.2494E+02,3.1308E+02,3.1307E+02,9.88686E+03,3.179712E+06
1.447236E+09,3.2244E+02,3.2623E+02,3.1954E+02,3.217E+02,7.49148E+03,2.43407146E+06
1.4472396E+09,3.1477E+02,3.2337E+02,3.1389E+02,3.2244E+02,6.59343E+03,2.10457987E+06
1.4472432E+09,3.1861E+02,3.2115E+02,3.1375E+02,3.1477E+02,4.54871E+03,1.44957517E+06
1.4472468E+09,3.2281E+02,3.2631E+02,3.1859E+02,3.1861E+02,5.91674E+03,1.91145456E+06
1.4472504E+09,3.1879E+02,3.2257E+02,3.1573E+02,3.2281E+02,5.10533E+03,1.63205656E+06
1.447254E+09,3.1077E+02,3.1945E+02,3.0379E+02,3.1879E+02,1.758784E+04,5.47440393E+06
1.4472576E+09,3.0813E+02,3.123E+02,3.0399E+02,3.1077E+02,1.213165E+04,3.7529341E+06
1.4472612E+09,3.1111E+02,3.1223E+02,3.0505E+02,3.0813E+02,7.8652E+03,2.44210694E+06
1.4472648E+09,3.0875E+02,3.1194E+02,3.0656E+02,3.1111E+02,4.86867E+03,1.51700535E+06
1.4472684E+09,3.1183E+02,3.1208E+02,3.0694E+02,3.0875E+02,5.35892E+03,1.66583742E+06
1.447272E+09,3.1175E+02,3.1356E+02,3.1018E+02,3.1183E+02,5.21741E+03,1.63325953E+06
1.4472756E+09,3.1038E+02,3.1302E+02,3.0832E+02,3.1175E+02,4.46961E+03,1.3915794E+06
1.4472792E+09,3.0186E+02,3.1241E+02,2.9659E+02,3.1038E+02,1.306263E+04,3.97826713E+06
1.4472828E+09,3.0424E+02,3.0696E+02,2.9944E+02,3.0186E+02,6.77057E+03,2.07005924E+06
1.4472864E+09,3.1287E+02,3.1688E+02,3.0517E+02,3.0424E+02,5.98213E+03,1.87378843E+06
1.44729E+09,3.1796E+02,3.1949E+02,3.126E+02,3.1287E+02,5.47982E+03,1.74178729E+06
1.4472936E+09,3.191E+02,3.2168E+02,3.152E+02,3.1796E+02,7.7099E+03,2.46683445E+06
1.4472972E+09,3.1775E+02,3.1978E+02,3.1435E+02,3.191E+02,7.78811E+03,2.47763323E+06
1.4473008E+09,3.1796E+02,3.2044E+02,3.1582E+02,3.1775E+02,3.87925E+03,1.24046536E+06
1.4473044E+09,3.1957E+02,3.2114E+02,3.1458E+02,3.1796E+02,6.99662E+03,2.23617709E+06
1.447308E+09,3.3284E+02,3.3369E+02,3.1945E+02,3.1957E+02,1.409481E+04,4.62864232E+06
1.4473116E+09,3.2951E+02,3.3414E+02,3.272E+02,3.3284E+02,8.78599E+03,2.90906878E+06
