date,growth
2012-10-30,18
2012-10-31,9
2012-11-01,28
2012-11-02,14
2012-11-03,19
2012-11-04,13
2012-11-05,25
2012-11-06,13
2012-11-07,21
2012-11-08,33
2012-11-09,44
2012-11-10,12
2012-11-11,23
2012-11-12,112
2012-11-13,41
2012-11-14,28
2012-11-15,28
2012-11-16,26
2012-11-17,18
2012-11-18,12
2012-11-19,21
2012-11-20,30
2012-11-21,9
2012-11-22,19
2012-11-23,24
2012-11-24,23
2012-11-25,14
2012-11-26,27
2012-11-27,28
2012-11-28,52
2012-11-29,27
2012-11-30,29
2012-12-01,24
2012-12-02,40
2012-12-03,34
2012-12-04,33
2012-12-05,35
2012-12-06,39
2012-12-07,42
2012-12-08,23
2012-12-09,42
2012-12-10,35
2012-12-11,128
2012-12-12,55
2012-12-13,29
2012-12-14,33
2012-12-15,35
2012-12-16,70
2012-12-17,42
2012-12-18,18
2012-12-19,16
2012-12-20,19
2012-12-21,30
2012-12-22,27
2012-12-23,36
2012-12-24,46
2012-12-25,22
2012-12-26,6
2012-12-27,20
2012-12-28,14
2012-12-29,19
2012-12-30,23
2012-12-31,23
2013-01-01,13
2013-01-02,54
2013-01-03,41
2013-01-04,20
2013-01-05,32
2013-01-06,35
2013-01-07,38
2013-01-08,34
2013-01-09,44
2013-01-10,26
2013-01-11,35
2013-01-12,28
2013-01-13,27
2013-01-14,41
2013-01-15,29
2013-01-16,35
2013-01-17,36
2013-01-18,25
2013-01-19,31
2013-01-20,35
2013-01-21,38
2013-01-22,82
2013-01-23,59
2013-01-24,67
2013-01-25,29
2013-01-26,48
2013-01-27,31
2013-01-28,69
2013-01-29,70
2013-01-30,64
2013-01-31,56
2013-02-01,59
2013-02-02,55
2013-02-03,60
2013-02-04,40
2013-02-05,52
2013-02-06,56
2013-02-07,44
2013-02-08,47
2013-02-09,47
2013-02-10,80
2013-02-11,72
2013-02-12,79
2013-02-13,109
2013-02-14,284
2013-02-15,193
2013-02-16,83
2013-02-17,80
2013-02-18,70
2013-02-19,118
2013-02-20,87
2013-02-21,82
2013-02-22,115
2013-02-23,66
2013-02-24,96
2013-02-25,59
2013-02-26,79
2013-02-27,71
2013-02-28,100
2013-03-01,70
2013-03-02,65
2013-03-03,107
2013-03-04,109
2013-03-05,151
2013-03-06,202
2013-03-07,250
2013-03-08,131
2013-03-09,90
2013-03-09,148
2013-03-10,72
2013-03-11,72
2013-03-12,189
2013-03-13,202
2013-03-14,137
2013-03-15,99
2013-03-16,94
2013-03-17,132
2013-03-18,146
2013-03-19,480
2013-03-20,218
2013-03-21,320
2013-03-22,240
2013-03-23,208
2013-03-24,245
2013-03-25,280
2013-03-26,363
2013-03-27,274
2013-03-28,490
2013-03-29,363
2013-03-30,343
2013-03-31,359
2013-04-01,359
2013-04-02,498
2013-04-03,1059
2013-04-04,562
2013-04-05,487
2013-04-06,249
2013-04-07,363
2013-04-08,595
2013-04-09,1384
2013-04-10,2781
2013-04-11,1930
2013-04-12,874
2013-04-13,465
2013-04-14,426
2013-04-15,311
2013-04-16,361
2013-04-17,330
2013-04-18,280
2013-04-19,164
2013-04-20,200
2013-04-21,204
2013-04-22,223
2013-04-23,227
2013-04-24,266
2013-04-25,203
2013-04-26,179
2013-04-27,169
2013-04-28,179
2013-04-29,160
2013-04-30,125
2013-05-01,204
2013-05-02,169
2013-05-03,134
2013-05-04,116
2013-05-05,126
2013-05-06,133
2013-05-07,180
2013-05-08,118
2013-05-09,116
2013-05-10,135
2013-05-11,106
2013-05-12,121
2013-05-13,97
2013-05-14,143
2013-05-15,181
2013-05-16,99
2013-05-17,118
2013-05-18,104
2013-05-19,86
2013-05-20,101
2013-05-21,106
2013-05-22,101
2013-05-23,95
