time,close,high,low,open,volumefrom,volumeto
1.4103504E+09,4.8456E+02,4.9077E+02,4.8311E+02,4.8563E+02,1.43631E+03,7.0637304E+05
1.4103612E+09,4.8525E+02,4.8629E+02,4.83E+02,4.8456E+02,1.18394E+03,5.8711091E+05
1.410372E+09,4.8482E+02,4.8661E+02,4.8329E+02,4.8525E+02,1.2109E+03,6.0149189E+05
1.4103828E+09,4.7991E+02,4.8505E+02,4.7991E+02,4.8482E+02,1.02429E+03,5.0574469E+05
1.4103936E+09,4.8038E+02,4.845E+02,4.7841E+02,4.7991E+02,7.309699999999999E+02,3.6060920999999996E+05
1.4104044E+09,4.8289E+02,4.8366E+02,4.7984E+02,4.8038E+02,6.9747E+02,3.4091948E+05
1.4104152E+09,4.8112E+02,4.8314E+02,4.7715E+02,4.8289E+02,6.3272E+02,3.0475874E+05
1.410426E+09,4.8085E+02,4.8658E+02,4.7899E+02,4.8112E+02,6.8111E+02,3.2937922E+05
1.4104368E+09,4.7816E+02,4.8029E+02,4.7604E+02,4.8085E+02,6.952E+02,3.3856547E+05
1.4104476E+09,4.7855E+02,4.7966E+02,4.7695E+02,4.7816E+02,9.4448E+02,4.64556E+05
1.4104584E+09,4.7728E+02,4.7876E+02,4.7478E+02,4.7855E+02,1.12727E+03,5.559386299999999E+05
1.4104692E+09,4.7812E+02,4.8507E+02,4.7602E+02,4.7728E+02,7.8045E+02,3.9219351E+05
1.41048E+09,4.7574E+02,4.7971E+02,4.7505E+02,4.7812E+02,4.9496E+02,2.4782727999999997E+05
1.4104908E+09,4.7762E+02,4.7815E+02,4.7381E+02,4.7574E+02,5.6255E+02,2.7196482999999996E+05
1.4105016E+09,4.7384E+02,4.7777E+02,4.7336E+02,4.7762E+02,7.3536E+02,3.5234544999999995E+05
1.4105124E+09,4.7361E+02,4.7685E+02,4.7098E+02,4.7384E+02,5.3772E+02,2.5854255E+05
1.4105232E+09,4.7571E+02,4.7729E+02,4.7305E+02,4.7361E+02,5.4823E+02,2.6528081E+05
1.410534E+09,4.7739E+02,4.7781E+02,4.7471E+02,4.7571E+02,6.9827E+02,3.4514147E+05
1.4105448E+09,4.7739E+02,4.7772E+02,4.7475E+02,4.7739E+02,8.8074E+02,4.3142986000000004E+05
1.4105556E+09,4.7772E+02,4.7775E+02,4.752E+02,4.7739E+02,6.8763E+02,3.4201596E+05
1.4105664E+09,4.7558E+02,4.7969E+02,4.7541E+02,4.7772E+02,4.9966999999999996E+02,2.463215E+05
1.4105772E+09,4.7628E+02,4.766E+02,4.7423E+02,4.7558E+02,4.2798E+02,2.0668418E+05
1.410588E+09,4.7541E+02,4.7889E+02,4.7504E+02,4.7628E+02,6.9855E+02,3.3344143E+05
1.4105988E+09,4.7715E+02,4.7811E+02,4.758E+02,4.7541E+02,5.653100000000001E+02,2.7108419999999995E+05
1.4106096E+09,4.8019E+02,4.8097E+02,4.7667E+02,4.7715E+02,9.6856E+02,4.6665545E+05
1.4106204E+09,4.7955E+02,4.8044E+02,4.7794E+02,4.8019E+02,7.791299999999999E+02,3.8728345999999996E+05
1.4106312E+09,4.801E+02,4.8042E+02,4.7811E+02,4.7955E+02,7.7645E+02,3.8494931999999995E+05
1.410642E+09,4.7755E+02,4.8017E+02,4.7677E+02,4.801E+02,5.5901E+02,2.7337345E+05
1.4106528E+09,4.7888E+02,4.8032E+02,4.7712E+02,4.7755E+02,4.3134E+02,2.1001929E+05
1.4106636E+09,4.7773E+02,4.7997E+02,4.7647E+02,4.7888E+02,4.8224999999999994E+02,2.3219977E+05
1.4106744E+09,4.7711E+02,4.7931E+02,4.7568E+02,4.7773E+02,4.8530999999999995E+02,2.3237909E+05
1.4106852E+09,4.7504E+02,4.7881E+02,4.7503E+02,4.7711E+02,5.9358E+02,2.8336067E+05
